Entity,Code,Year,living_planet_index_average
Africa,,1970,100
Africa,,1971,95.4619689
Africa,,1972,94.6834134
Africa,,1973,99.18117360000001
Africa,,1974,99.384934
Africa,,1975,96.6180782
Africa,,1976,92.4301969
Africa,,1977,87.2671198
Africa,,1978,80.73154070000001
Africa,,1979,76.9254314
Africa,,1980,76.9081876
Africa,,1981,79.57674139999999
Africa,,1982,76.4077794
Africa,,1983,73.1503259
Africa,,1984,68.4761215
Africa,,1985,63.7356956
Africa,,1986,59.7940078
Africa,,1987,57.3022634
Africa,,1988,56.041718900000006
Africa,,1989,55.16369209999999
Africa,,1990,53.5341213
Africa,,1991,52.495760700000005
Africa,,1992,52.553061400000004
Africa,,1993,52.87971769999999
Africa,,1994,53.7990254
Africa,,1995,53.2089821
Africa,,1996,53.313998399999996
Africa,,1997,52.35894760000001
Africa,,1998,51.4812834
Africa,,1999,50.73549630000001
Africa,,2000,49.8478206
Africa,,2001,47.7969422
Africa,,2002,45.4182948
Africa,,2003,43.467074700000005
Africa,,2004,43.0759027
Africa,,2005,42.3475095
Africa,,2006,41.7608907
Africa,,2007,41.7640316
Africa,,2008,42.106512200000004
Africa,,2009,42.209775
Africa,,2010,41.1133919
Africa,,2011,39.3256355
Africa,,2012,36.9574054
Africa,,2013,34.5145394
Africa,,2014,32.4928695
Africa,,2015,31.293572800000003
Africa,,2016,32.054221500000004
Africa,,2017,34.4458751
Asia and Pacific,,1970,100
Asia and Pacific,,1971,103.7109657
Asia and Pacific,,1972,104.83866859999999
Asia and Pacific,,1973,104.1134016
Asia and Pacific,,1974,104.9811427
Asia and Pacific,,1975,105.9803663
Asia and Pacific,,1976,106.0154597
Asia and Pacific,,1977,104.1612733
Asia and Pacific,,1978,102.561853
Asia and Pacific,,1979,101.4466364
Asia and Pacific,,1980,100.6715203
Asia and Pacific,,1981,99.02615259999999
Asia and Pacific,,1982,96.7173069
Asia and Pacific,,1983,93.7090272
Asia and Pacific,,1984,92.2515952
Asia and Pacific,,1985,92.45853550000001
Asia and Pacific,,1986,94.2524124
Asia and Pacific,,1987,94.7575872
Asia and Pacific,,1988,94.4038539
Asia and Pacific,,1989,93.0612438
Asia and Pacific,,1990,90.0934888
Asia and Pacific,,1991,86.5267314
Asia and Pacific,,1992,82.8573325
Asia and Pacific,,1993,78.792209
Asia and Pacific,,1994,75.6363913
Asia and Pacific,,1995,72.3442216
Asia and Pacific,,1996,70.8067779
Asia and Pacific,,1997,68.9327964
Asia and Pacific,,1998,66.6941388
Asia and Pacific,,1999,64.50407249999999
Asia and Pacific,,2000,62.2660213
Asia and Pacific,,2001,61.2744996
Asia and Pacific,,2002,61.505191999999994
Asia and Pacific,,2003,62.2018732
Asia and Pacific,,2004,63.061951199999996
Asia and Pacific,,2005,62.8762271
Asia and Pacific,,2006,62.679865899999996
Asia and Pacific,,2007,59.9801206
Asia and Pacific,,2008,55.8495942
Asia and Pacific,,2009,50.05290289999999
Asia and Pacific,,2010,46.797658399999996
Asia and Pacific,,2011,44.4239072
Asia and Pacific,,2012,43.9966301
Asia and Pacific,,2013,44.6490574
Asia and Pacific,,2014,45.918137599999994
Asia and Pacific,,2015,46.883876
Asia and Pacific,,2016,44.7551455
Asia and Pacific,,2017,44.3357649
Asia and Pacific,,2018,44.679649500000004
Europe and Central Asia,,1970,100
Europe and Central Asia,,1971,101.27225820000001
Europe and Central Asia,,1972,103.28786960000001
Europe and Central Asia,,1973,105.6278309
Europe and Central Asia,,1974,107.57694849999999
Europe and Central Asia,,1975,108.685179
Europe and Central Asia,,1976,109.4471862
Europe and Central Asia,,1977,110.94269940000001
Europe and Central Asia,,1978,112.8089544
Europe and Central Asia,,1979,113.8832152
Europe and Central Asia,,1980,113.81797689999999
Europe and Central Asia,,1981,113.09560110000001
Europe and Central Asia,,1982,113.4491216
Europe and Central Asia,,1983,112.00391220000002
Europe and Central Asia,,1984,112.05086109999999
Europe and Central Asia,,1985,111.94302160000001
Europe and Central Asia,,1986,113.9536756
Europe and Central Asia,,1987,116.7714251
Europe and Central Asia,,1988,121.41252499999999
Europe and Central Asia,,1989,126.95860219999999
Europe and Central Asia,,1990,130.5446892
Europe and Central Asia,,1991,130.7410732
Europe and Central Asia,,1992,128.747907
Europe and Central Asia,,1993,125.2536173
Europe and Central Asia,,1994,121.7116178
Europe and Central Asia,,1995,118.51712940000002
Europe and Central Asia,,1996,114.81868070000002
Europe and Central Asia,,1997,111.92476760000001
Europe and Central Asia,,1998,109.0750407
Europe and Central Asia,,1999,107.3508444
Europe and Central Asia,,2000,106.45916220000001
Europe and Central Asia,,2001,105.061322
Europe and Central Asia,,2002,104.75336390000001
Europe and Central Asia,,2003,104.1609588
Europe and Central Asia,,2004,104.877104
Europe and Central Asia,,2005,105.4472695
Europe and Central Asia,,2006,105.83015520000001
Europe and Central Asia,,2007,105.5778277
Europe and Central Asia,,2008,104.43361980000002
Europe and Central Asia,,2009,104.4281631
Europe and Central Asia,,2010,105.53932040000001
Europe and Central Asia,,2011,103.01810549999999
Europe and Central Asia,,2012,98.60530920000001
Europe and Central Asia,,2013,92.2752804
Europe and Central Asia,,2014,90.6011161
Europe and Central Asia,,2015,88.4297436
Europe and Central Asia,,2016,86.1145006
Europe and Central Asia,,2017,83.4874868
Europe and Central Asia,,2018,82.2915342
Freshwater,,1970,100
Freshwater,,1971,98.293719
Freshwater,,1972,97.1892653
Freshwater,,1973,96.9687796
Freshwater,,1974,94.1979449
Freshwater,,1975,90.12309640000001
Freshwater,,1976,85.9175801
Freshwater,,1977,82.2131566
Freshwater,,1978,78.7561764
Freshwater,,1979,76.224954
Freshwater,,1980,74.3899106
Freshwater,,1981,73.1106672
Freshwater,,1982,69.9692154
Freshwater,,1983,66.3032209
Freshwater,,1984,62.957821700000004
Freshwater,,1985,60.4836256
Freshwater,,1986,58.4069615
Freshwater,,1987,55.70559349999999
Freshwater,,1988,52.631979900000005
Freshwater,,1989,51.0816621
Freshwater,,1990,49.2790176
Freshwater,,1991,47.6622292
Freshwater,,1992,45.5418343
Freshwater,,1993,43.4511732
Freshwater,,1994,41.4504899
Freshwater,,1995,38.7363263
Freshwater,,1996,37.2176802
Freshwater,,1997,34.957732
Freshwater,,1998,33.017622
Freshwater,,1999,30.7366504
Freshwater,,2000,29.1271184
Freshwater,,2001,27.339613
Freshwater,,2002,25.804478400000004
Freshwater,,2003,24.8165904
Freshwater,,2004,24.352142800000003
Freshwater,,2005,24.300850399999998
Freshwater,,2006,23.917998700000002
Freshwater,,2007,23.4634188
Freshwater,,2008,22.6305172
Freshwater,,2009,21.624906199999998
Freshwater,,2010,20.667347499999998
Freshwater,,2011,19.1988471
Freshwater,,2012,18.0219349
Freshwater,,2013,17.315143499999998
Freshwater,,2014,17.4279543
Freshwater,,2015,17.5929918
Freshwater,,2016,17.3996065
Freshwater,,2017,17.211237500000003
Freshwater,,2018,17.144189400000002
Latin America and the Caribbean,,1970,100
Latin America and the Caribbean,,1971,101.0071636
Latin America and the Caribbean,,1972,99.52310949999999
Latin America and the Caribbean,,1973,95.2122285
Latin America and the Caribbean,,1974,89.5563479
Latin America and the Caribbean,,1975,83.3978282
Latin America and the Caribbean,,1976,78.07280709999999
Latin America and the Caribbean,,1977,73.0437843
Latin America and the Caribbean,,1978,69.5593466
Latin America and the Caribbean,,1979,67.4653369
Latin America and the Caribbean,,1980,65.0498838
Latin America and the Caribbean,,1981,62.513807
Latin America and the Caribbean,,1982,58.2923756
Latin America and the Caribbean,,1983,53.373236199999994
Latin America and the Caribbean,,1984,49.6977588
Latin America and the Caribbean,,1985,46.941833
Latin America and the Caribbean,,1986,44.3168275
Latin America and the Caribbean,,1987,40.6477786
Latin America and the Caribbean,,1988,37.7652622
Latin America and the Caribbean,,1989,35.9970139
Latin America and the Caribbean,,1990,34.9957577
Latin America and the Caribbean,,1991,33.752610700000005
Latin America and the Caribbean,,1992,32.369484199999995
Latin America and the Caribbean,,1993,30.579263499999996
Latin America and the Caribbean,,1994,28.683862599999998
Latin America and the Caribbean,,1995,26.6828334
Latin America and the Caribbean,,1996,25.408627900000003
Latin America and the Caribbean,,1997,24.0465035
Latin America and the Caribbean,,1998,22.5881777
Latin America and the Caribbean,,1999,20.8280991
Latin America and the Caribbean,,2000,19.7551713
Latin America and the Caribbean,,2001,18.556381599999998
Latin America and the Caribbean,,2002,17.4334989
Latin America and the Caribbean,,2003,16.2074901
Latin America and the Caribbean,,2004,15.498992000000001
Latin America and the Caribbean,,2005,15.3081408
Latin America and the Caribbean,,2006,15.012579800000001
Latin America and the Caribbean,,2007,14.548460899999998
Latin America and the Caribbean,,2008,13.5933336
Latin America and the Caribbean,,2009,11.9460841
Latin America and the Caribbean,,2010,10.3764877
Latin America and the Caribbean,,2011,8.8097502
Latin America and the Caribbean,,2012,8.1147527
Latin America and the Caribbean,,2013,7.7500345
Latin America and the Caribbean,,2014,7.7751585
Latin America and the Caribbean,,2015,7.8492061
Latin America and the Caribbean,,2016,7.406642
Latin America and the Caribbean,,2017,6.8550363
Latin America and the Caribbean,,2018,6.413632099999999
North America,,1970,100
North America,,1971,99.7004935
North America,,1972,98.1814349
North America,,1973,96.0216008
North America,,1974,92.08159889999999
North America,,1975,89.9868154
North America,,1976,89.2258526
North America,,1977,89.8321014
North America,,1978,90.7552718
North America,,1979,91.1322222
North America,,1980,90.8661431
North America,,1981,90.0886972
North America,,1982,89.6391462
North America,,1983,89.5306246
North America,,1984,88.89054320000001
North America,,1985,88.76709860000001
North America,,1986,88.2464152
North America,,1987,87.4895724
North America,,1988,86.57777279999999
North America,,1989,85.2738235
North America,,1990,85.2314494
North America,,1991,84.3305661
North America,,1992,84.5488738
North America,,1993,84.5954698
North America,,1994,85.1541729
North America,,1995,82.9825009
North America,,1996,80.45053060000001
North America,,1997,77.9770309
North America,,1998,76.00231840000001
North America,,1999,74.02554930000001
North America,,2000,72.1602279
North America,,2001,70.7939447
North America,,2002,71.131851
North America,,2003,71.8898774
North America,,2004,73.6451328
North America,,2005,73.6880222
North America,,2006,73.6199415
North America,,2007,73.5673982
North America,,2008,73.5583422
North America,,2009,73.3446659
North America,,2010,72.690968
North America,,2011,72.3160147
North America,,2012,70.9925742
North America,,2013,70.26417310000001
North America,,2014,70.7846323
North America,,2015,72.9642716
North America,,2016,75.4335217
North America,,2017,77.5017625
North America,,2018,79.6477817
World,OWID_WRL,1970,100
World,OWID_WRL,1971,99.1002759
World,OWID_WRL,1972,97.9298836
World,OWID_WRL,1973,96.7828407
World,OWID_WRL,1974,95.3454341
World,OWID_WRL,1975,93.5558012
World,OWID_WRL,1976,91.4892185
World,OWID_WRL,1977,88.5352412
World,OWID_WRL,1978,85.68404670000001
World,OWID_WRL,1979,83.34747999999999
World,OWID_WRL,1980,81.5080934
World,OWID_WRL,1981,79.8368748
World,OWID_WRL,1982,77.2813851
World,OWID_WRL,1983,74.5181848
World,OWID_WRL,1984,71.8320243
World,OWID_WRL,1985,69.7531144
World,OWID_WRL,1986,68.12566559999999
World,OWID_WRL,1987,66.322487
World,OWID_WRL,1988,64.5467006
World,OWID_WRL,1989,63.5743437
World,OWID_WRL,1990,62.6811227
World,OWID_WRL,1991,61.6091396
World,OWID_WRL,1992,60.1198509
World,OWID_WRL,1993,58.109296300000004
World,OWID_WRL,1994,56.2008977
World,OWID_WRL,1995,54.0360964
World,OWID_WRL,1996,53.042135800000004
World,OWID_WRL,1997,51.7500764
World,OWID_WRL,1998,50.4664511
World,OWID_WRL,1999,48.6643792
World,OWID_WRL,2000,47.2215375
World,OWID_WRL,2001,45.6713694
World,OWID_WRL,2002,44.4983943
World,OWID_WRL,2003,43.5156567
World,OWID_WRL,2004,42.9278308
World,OWID_WRL,2005,42.2031513
World,OWID_WRL,2006,41.295152099999996
World,OWID_WRL,2007,40.1428042
World,OWID_WRL,2008,38.7193914
World,OWID_WRL,2009,36.877125
World,OWID_WRL,2010,35.1531515
World,OWID_WRL,2011,33.441041399999996
World,OWID_WRL,2012,32.3710899
World,OWID_WRL,2013,31.7382643
World,OWID_WRL,2014,31.6690208
World,OWID_WRL,2015,31.6275314
World,OWID_WRL,2016,31.1454081
World,OWID_WRL,2017,30.885270199999997
World,OWID_WRL,2018,30.897567300000002
